company_name,official_url,form_url,form_type,sales_prohibited,captcha,login_required,fields_summary,notes
株式会社ａｎｄＫ,,,site_not_found,unclear,unclear,unclear,,"Corporate registry (gbizinfo/alarmbox/cnavi) shows company at 福岡県福岡市博多区中洲5-1-22 松月堂ビル4F, corp# 8290001094773, est. 2021-09, but no official website or business description found. A cosmetics brand '&K' on @cosme is by unrelated manufacturer アンテノーブル. Could not confirm this company is cosmetics/beauty related; not found"
株式会社デイ・グリー,,,site_not_found,unclear,unclear,unclear,,"Corporate registry (gbizinfo/alarmbox/catr) shows company at 福岡県福岡市南区塩原4-5-10, corp# 5290001081989, est. 2018-07, but no official website or business description found; not found"
株式会社Ｆｌｏｒａ　Ｇｌｏｗ,,,site_not_found,unclear,unclear,unclear,,"Corp registry: 福岡県福岡市博多区博多駅前1-23-2 ParkFront博多駅前1丁目5F-B, corp# 5290001107653, est 2024-10, rep 境佑樹. Lancers.jp client profile confirms wholesale/retail business selling skincare products via EC site (photographed skincare serum for EC), consistent with cosmetics/beauty. No official website found despite multiple searches; not found"
株式会社モリンガ,https://www.nama-moringa.com/,https://thebase.com/inquiry/PURofficial-base-shop,general_inquiry,no,no,no,"name(required), tel(optional), email(required), subject/title(required), order-ID(optional), inquiry message textarea(required), privacy-policy checkbox","BASE e-commerce platform shop contact form (linked from official site nama-moringa.com, CONTACT link). Company: 福岡市中央区大名2-9-17, corp# 4290001093333, moringa-based cosmetics/food (プレミアムモリンガオイル/ソープ/ローション skincare line). Form is general inquiry, includes optional order-ID field but not restricted to existing customers only. No captcha or sales-prohibition wording found"
合同会社ハピネス倶楽部,,,site_not_found,unclear,unclear,unclear,,"Corp registry (gbizinfo/kaishalist) shows company at 福岡県福岡市博多区博多駅東3-11-14 アバンダント90-1階, corp# 1290003008192, but no official website or business description found. Similarly-named but distinct entities (株式会社ハピネス cosmetics OEM, other ハピネス salons) found but do not match this legal entity name; not found"
株式会社ヒューマンズ・ベスト,https://www.humans-best.com/,https://www.humans-best.com/contact.php,general_inquiry,no,no,no,"name, name-kana, phone, email, inquiry message textarea (all appear required per label text though required attr not enforced), honeypot field 'winnie_the_pooh'","Company sells health foods/beauty products in Fukuoka (福岡市中央区春吉1-16-8-401). Simple mail-form contact page, general inquiry, no captcha, no sales-prohibition wording found on the page"
アナリゼ化粧品株式会社,,,site_not_found,unclear,unclear,unclear,,"Corp registry (jpn.cn.com) shows company at 福岡県福岡市中央区天神2-5-17, corp# 2290001019273. Confirmed cosmetics maker (products 'CA モイスチャーライザー' / 'CA モイスチャー&サンスクリーン' listed on @cosme with reviews mentioning door-to-door/street recruitment sales tactics), but no official company website/domain found despite multiple searches; not found"
大鵬商事株式会社,,,site_not_found,unclear,unclear,unclear,,"Multiple companies nationally share this name (Osaka - defunct, Toyama, Tokyo, etc per gbizinfo/presspage/nikkei compass); could not confirm one specifically in Fukuoka or Oita prefecture, nor any cosmetics/beauty/health-food business description or official website; not found (incomplete research)"
株式会社ビューティフルライフ,,,site_not_found,unclear,unclear,unclear,,"Corp registry (gbizinfo) shows a Fukuoka entity at 福岡県福岡市中央区輝国2-24-55, corp# 6290001020566, but no business description or official website found. Note: a similarly-named but distinct 有限会社ビューティフルライフ (different entity type, hair/beauty salon) exists in Oita at be-life.info, and a distinct 株式会社ビューティーライフ (different kanji) exists in Fukuoka at a-du.jp selling cosmetics -- neither is an exact match to the target legal entity name; not found"
株式会社ＮＩＬＥ　ＰＲＯＭＯＴＩＯＮ,https://nile-official.jp/,https://nile-official.jp/pages/company-contact,other,yes,yes,no,"company-contact form (卸販売専用フォーム/wholesale-only): 社名, 会社URL, 会社住所, 担当者名, 電話番号, メールアドレス, 販売先, 取引開始時期, 取扱希望商品名, その他お問合せ内容 (all free text, Globo Contact Form app). Separate general /pages/contact form (Shopify) has name/email/phone/message and is customer-support/LINE oriented","Company operates NILE grooming/skincare brand (shampoo, conditioner, skincare), Fukuoka-shi Chuo-ku Akasaka 3-9-24, corp# 3290001099372, est 2022-10. Corporate contact form explicitly states 'wholesale sales only - please refrain from proposals about advertising, services, etc. unrelated to wholesale sales' (卸販売以外に関する、広告やサービスなどの提案はご遠慮ください), i.e. sales/marketing solicitation is discouraged. reCAPTCHA/captcha script detected in page HTML on Shopify site (may be generic Shopify script, not confirmed visually active on this exact form)"
株式会社ヴァッソウー,,,site_not_found,unclear,unclear,unclear,,"Registered at 福岡県福岡市中央区平尾1丁目13番41号 (corp no. 4290001026730, formerly 株式会社ヴァッソー). No business category or URL listed in corporate registries (houjin.jp, companyinformation.jp). Distinct from unrelated cosmetics company 株式会社ヴァッソ (vasso.co.jp, different name/address). Could not confirm an official website after extensive search; not found"
株式会社ライフダイレクト,http://lifedirect.jp/,,no_form_found,unclear,unclear,unclear,,"Health/beauty supplement mail-order site (EC shop) in Fukuoka-shi Hakata-ku. Checked all footer/nav links (top, company, faq, tokushou, privacypolicy) - no contact/inquiry form link found anywhere; only a phone number (092-401-0135) is provided for contact. No general business inquiry form exists"
株式会社クインズケア,https://hwa-cosmetic.com/,https://hwa-cosmetic.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,general_inquiry,no,yes,no,"name, furigana(kana), email, phone(optional), message textarea maxlength 2000, Contact Form 7 with Google reCAPTCHA","Company runs HWA-cosmetic skincare brand (99.9% natural-origin ingredients), confirmed match for 株式会社クインズケア in 福岡県福岡市中央区谷. Public contact form via WPCF7, no sales-prohibition wording seen on the form page text, reCAPTCHA present, no login required"
有限会社ひびき,,,no_form_found,unclear,unclear,unclear,,"Registered at 福岡県福岡市中央区舞鶴1丁目9番3号 (corp no. 1180002061427), phone 092-753-7105. Operates cosmetics/beauty mail-order shop '美・ワールドひびき' (Beauty World Hibiki) exclusively via Rakuten Ichiba (https://www.rakuten.co.jp/b-w-hibiki/info.html) - no independent official company website with its own contact form could be found; contact is only through Rakuten's marketplace messaging system"
株式会社ＤＫＹプロモーション,http://dky-promotion.com/,,no_form_found,unclear,unclear,unclear,,"Registered at 福岡県福岡市中央区渡辺通5-24-30 (corp no. 5290001070835). Official domain dky-promotion.com confirmed via engage.net recruiting page, but the site currently only shows the rental-server hosting company's default 'ControlPanel' placeholder page (no real content uploaded) - no contact form exists on the live site. Company markets health-food items (e.g. intestinal-cleanse smoothie) sold via partner sites like vitasalon-juju.com; runs recruiting brand 'MODENA'"
スピード株式会社,https://speednetwork.co.jp/,https://speednetwork.co.jp/contact/,general_inquiry,no,yes,no,"name(required), email(required), phone(required), message textarea(optional), Contact Form 7 with [recaptcha] shortcode present","Operates beauty salons and hairdresser training across Fukuoka/Kyushu. Public WPCF7 contact form, no sales-prohibition wording found on the page text, reCAPTCHA shortcode present (rendering as literal '[recaptcha]' text - plugin may be misconfigured but captcha field intended), no login required"
